CLAVE SITIO,NOMBRE DEL SITIO,COLI_FEC,COT,COT_SOL,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,P_TOT,ORTO_PO4,COLOR_VER,ABS_UV,SDT,SST,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,TEMP_AMB
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,24196,1.2224,1.0254,8.624347,0.008258,0.062085,5.360973,14.055663,13.98532,2.9354,0.537499,125,0.20099,2566.4,70,31,0.00139,0.0002,0.00088,0.00009,0.0002,0.00154,35
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,24196,0.7168,0.6058,8.693472,0.324604,0.141462,4.023615,13.183153,12.717087,2.529685,0.008628,75,0.2187,6736,76,30,0.01,0.0002,0.00088,0.00009,0.0002,0.00154,35
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,173290,0.811,0.656,12.48682,0.11548,0.24222,4.30664,17.15116,16.79346,2.71771,0.2179,250,0.18,7976,64,23,0.00139,0.0002,0.00088,0.00009,0.0002,0.00154,29
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,552,1.381,1.059,11.765,0.23901,0.44753,4.46303,16.91457,16.22803,3.20054,0.02036,90,0.137,2918.4,53.75,22,0.00139,0.0002,0.00088,0.000217,0.0002,0.00154,30
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,24196,1.36,0.926,12.29502,0.29628,0.09485,6.86688,19.55303,19.1619,3.2951,0.03414,75,0.202,2931.2,64.71,27,0.00139,0.0002,0.0085,0.00009,0.0002,0.00154,32
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,24196,0.088,0.088,12.983765,0.044182,0.253233,8.357074,21.638254,21.340839,3.95824,0.07464,75,0.237,1638.4,70,50,0.00139,0.0002,0.00088,0.00009,0.0002,0.00154,35
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,24196,0.701,0.659,10.77516,0.99304,0.14737,0,11.91557,10.77516,0.20946,0.24508,80,0.216,4840,104.29,55,0.00139,0.0002,0.00088,0.00009,0.0002,0.00154,34
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,12997,0.386,0.221,8.24337,0.25804,0.32662,6.65435,15.48238,14.89772,2.96657,0.08682,130,0.082,6088,85,36,0.00139,0.0002,0.00088,0.00005,0.0002,0.00154,37
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,18720,2.004,1.759,16.86182,0.104753,0.433237,0,17.39981,16.86182,2.4592,0.23871,75,0.121,3046.4,74.55,23,0.00139,0.0002,0.00088,0.00009,0.0002,0.00154,22
OCPNO4525W1,LOS MOCHIS  (A) AGUAS ABAJO,24196,38.75,15.8,13.296234,0.199472,0.331621,3.30755,17.134877,16.603784,2.56572,0.54284,200,0.11,4608,50,18,0.00139,0.0002,0.00088,0.00009,0.0002,0.00154,29
